",,,,,,"
"ion,,,,,,"
"ion,positive,,,,,"
"regulation,ion,repair,positive,catabolic process,transport,protein"
"regulation,ion,,,,,"
"ion,catabolic process,,,,,"
"ion,positive,regulation,,,,"
"regulation,catabolic process,ion,,,,"
"protein,ion,,,,,"
"ion,targeting,,,,,"
"positive,regulation,histone,negative,,,"
"regulation,ion,catabolic process,,,,"
"catabolic process,negative,regulation,,,,"
"membrane organization,,,,,,"
"ion,regulation,positive,,,,"
"positive,regulation,,,,,"
"protein,negative,regulation,catabolic process,,,"
"regulation,,,,,,"
"starvation,ion,,,,,"
"ion,membrane organization,,,,,"
"ion,protein,,,,,"
"protein,,,,,,"
"negative,regulation,ion,,,,"
"catabolic process,,,,,,"
"regulation,ion,protein,,,,"
"regulation,protein,ion,positive,,,"
"negative,regulation,,,,,"
"ion,transport,protein,,,,"
"targeting,transport,positive,regulation,ion,,"
"positive,regulation,ion,,,,"
"protein,targeting,,,,,"
"targeting,transport,ion,,,,"
"repair,ion,,,,,"
"protein,negative,regulation,positive,,,"
"regulation,transport,ion,,,,"
"transport,,,,,,"
"protein,catabolic process,regulation,,,,"
"protein,catabolic process,,,,,"
"histone,positive,regulation,,,,"
"regulation,ion,positive,protein,transport,copper,"
"ion,catabolic process,regulation,transport,,,"
"targeting,transport,,,,,"
"copper,,,,,,"
"protein,ion,negative,,,,"
"regulation,protein,positive,,,,"
"ion,histone,,,,,"
"regulation,ion,protein,positive,,,"
"targeting,transport,ion,regulation,,,"
"ion,positive,negative,histone,,,"
"transport,protein,,,,,"
"ion,regulation,,,,,"
"catabolic process,targeting,,,,,"
"regulation,protein,,,,,"
"ion,repair,,,,,"
"targeting,ion,,,,,"
"regulation,positive,negative,catabolic process,,,"
"protein,transport,catabolic process,,,,"
"ion,positive,regulation,protein,catabolic process,,"
"negative,regulation,positive,catabolic process,,,"
"regulation,ion,histone,positive,,,"
"ion,regulation,metabolic process,positive,catabolic process,transport,"
"regulation,ion,positive,,,,"
"ion,starvation,,,,,"
"protein,regulation,,,,,"
"regulation,ion,negative,,,,"
"regulation,ion,transport,,,,"
"regulation,protein,ion,,,,"
"catabolic process,negative,regulation,ion,,,"
"regulation,ion,positive,histone,,,"
"ion,protein,catabolic process,,,,"
"regulation,negative,protein,,,,"
"regulation,positive,,,,,"
"positive,regulation,negative,repair,histone,,"
"ion,repair,protein,negative,regulation,,"
"repair,histone,regulation,protein,,,"
"catabolic process,ion,,,,,"
"ion,copper,,,,,"
"ion,repair,positive,regulation,starvation,,"
"metabolic process,,,,,,"
"ion,regulation,protein,positive,,,"
"catabolic process,positive,regulation,transport,ion,,"
"protein,ion,positive,,,,"
"protein,histone,,,,,"
"ion,protein,positive,regulation,,,"
"ion,histone,repair,positive,,,"
"ion,positive,regulation,negative,,,"
"ion,negative,regulation,protein,,,"
"repair,protein,,,,,"
"metabolic process,protein,negative,regulation,,,"
"regulation,negative,transport,,,,"
"protein,targeting,positive,regulation,,,"
"regulation,positive,negative,protein,,,"
"negative,regulation,protein,positive,,,"
"ion,negative,regulation,,,,"
"protein,metabolic process,negative,regulation,repair,catabolic process,biological_process"
"catabolic process,starvation,ion,,,,"
"regulation,ion,metabolic process,protein,,,"
"regulation,ion,starvation,,,,"
"metabolic process,ion,,,,,"
"targeting,ion,transport,,,,"
"ion,positive,regulation,metabolic process,,,"
"metabolic process,transport,,,,,"
"metabolic process,ion,positive,regulation,,,"
"negative,regulation,positive,,,,"
"protein,catabolic process,ion,,,,"
"regulation,protein,catabolic process,,,,"
"regulation,protein,ion,transport,,,"
"transport,ion,,,,,"
"positive,regulation,transport,,,,"
"ion,biological_process,,,,,"
"positive,regulation,repair,,,,"
"regulation,repair,ion,,,,"
"ion,positive,regulation,transport,negative,,"
"copper,ion,,,,,"
"ion,repair,positive,,,,"
"repair,,,,,,"
"regulation,ion,protein,targeting,,,"
"positive,regulation,starvation,,,,"
"regulation,protein,transport,,,,"
"metabolic process,transport,protein,,,,"
"regulation,ion,histone,,,,"
"transport,regulation,ion,catabolic process,,,"
"ion,transport,,,,,"
"ion,metabolic process,,,,,"
"regulation,negative,,,,,"
"regulation,ion,metabolic process,positive,protein,,"
"catabolic process,ion,transport,,,,"
"protein,regulation,catabolic process,negative,,,"
"catabolic process,transport,,,,,"
"ion,negative,,,,,"
"regulation,ion,repair,,,,"
"transport,copper,,,,,"
"protein,metabolic process,,,,,"
"ion,protein,targeting,,,,"
"regulation,ion,histone,positive,catabolic process,protein,"
"protein,positive,regulation,,,,"
"repair,protein,regulation,transport,positive,,"
"protein,starvation,regulation,,,,"
"targeting,catabolic process,transport,negative,regulation,ion,"
"repair,regulation,,,,,"
"catabolic process,ion,negative,regulation,,,"
"positive,regulation,protein,,,,"
"ion,positive,regulation,protein,catabolic process,negative,"
"protein,targeting,catabolic process,,,,"
"positive,regulation,negative,,,,"
"regulation,ion,positive,protein,,,"
"catabolic process,transport,negative,regulation,ion,positive,"
"copper,transport,,,,,"
"repair,regulation,negative,,,,"
"transport,ion,regulation,,,,"
"protein,catabolic process,targeting,,,,"
"ion,positive,regulation,protein,,,"
"regulation,ion,metabolic process,positive,transport,starvation,"
"histone,,,,,,"
"ion,positive,starvation,,,,"
"regulation,protein,ion,membrane organization,,,"
"regulation,ion,transport,histone,,,"
"metabolic process,catabolic process,,,,,"
"ion,regulation,catabolic process,,,,"
"negative,regulation,ion,positive,,,"
"positive,regulation,ion,negative,starvation,,"
"regulation,metabolic process,ion,,,,"
"protein,negative,regulation,ion,metabolic process,positive,"
"ion,negative,regulation,protein,positive,,"
"regulation,ion,negative,protein,,,"
"ion,negative,positive,protein,,,"
"metabolic process,protein,ion,,,,"
"negative,regulation,catabolic process,,,,"
"regulation,ion,positive,protein,catabolic process,,"
"catabolic process,histone,,,,,"
"metabolic process,ion,protein,catabolic process,,,"
"protein,positive,regulation,metabolic process,,,"
"regulation,ion,metabolic process,positive,,,"
"protein,negative,regulation,,,,"
"ion,targeting,catabolic process,negative,regulation,,"
"ion,histone,negative,positive,,,"
"regulation,transport,,,,,"
"ion,targeting,positive,regulation,transport,,"
"ion,negative,repair,histone,positive,,"
"catabolic process,transport,ion,targeting,positive,regulation,"
"ion,protein,negative,,,,"
"catabolic process,transport,ion,,,,"
"regulation,ion,protein,targeting,catabolic process,,"
"regulation,ion,histone,negative,,,"
"regulation,ion,repair,positive,protein,catabolic process,"
"repair,negative,regulation,,,,"
"catabolic process,protein,,,,,"
"protein,targeting,transport,,,,"
"ion,regulation,negative,,,,"
"ion,negative,protein,,,,"
"regulation,ion,repair,histone,,,"
"ion,targeting,catabolic process,transport,,,"
"protein,transport,regulation,,,,"
"regulation,metabolic process,,,,,"
"ion,negative,regulation,positive,repair,,"
"protein,ion,negative,positive,,,"
"repair,catabolic process,positive,regulation,,,"
"negative,regulation,protein,,,,"
"ion,protein,catabolic process,positive,regulation,,"
"protein,regulation,negative,positive,,,"
"ion,targeting,positive,regulation,,,"
"ion,negative,positive,,,,"
"regulation,ion,metabolic process,,,,"
"catabolic process,regulation,,,,,"
"ion,regulation,protein,,,,"
"transport,negative,regulation,protein,positive,,"
"repair,protein,targeting,positive,regulation,transport,"
"ion,protein,catabolic process,negative,,,"
"ion,catabolic process,regulation,,,,"
"positive,regulation,histone,,,,"
"protein,starvation,positive,regulation,negative,,"
"negative,regulation,transport,,,,"
"regulation,ion,positive,starvation,,,"
"regulation,ion,metabolic process,protein,catabolic process,starvation,"
"catabolic process,positive,regulation,starvation,,,"
"ion,protein,metabolic process,positive,regulation,,"
"regulation,ion,negative,starvation,,,"
"protein,catabolic process,transport,negative,regulation,positive,histone"
"starvation,catabolic process,positive,regulation,,,"
"targeting,catabolic process,negative,regulation,ion,,"
"catabolic process,ion,targeting,,,,"
"protein,transport,,,,,"
"transport,ion,positive,regulation,,,"
"ion,metabolic process,positive,,,,"
"ion,negative,regulation,catabolic process,positive,,"
"copper,ion,positive,regulation,protein,negative,"
"repair,ion,regulation,positive,,,"
"repair,protein,transport,regulation,,,"
"protein,membrane organization,negative,regulation,,,"
"ion,regulation,histone,,,,"
"ion,repair,histone,catabolic process,regulation,transport,"
"targeting,negative,regulation,ion,,,"
"positive,regulation,protein,negative,,,"
"positive,regulation,catabolic process,,,,"
"ion,positive,regulation,starvation,,,"
"regulation,positive,histone,,,,"
"targeting,catabolic process,,,,,"
"regulation,protein,negative,,,,"
"protein,histone,positive,regulation,,,"
"metabolic process,protein,histone,positive,regulation,,"
"biological_process,,,,,,"
"regulation,starvation,protein,,,,"
"transport,regulation,ion,,,,"
"targeting,,,,,,"
"ion,positive,protein,,,,"
"negative,regulation,positive,protein,catabolic process,,"
"targeting,metabolic process,ion,,,,"
"ion,negative,regulation,positive,,,"
"transport,positive,regulation,ion,,,"
"transport,ion,negative,membrane organization,,,"
"positive,regulation,metabolic process,,,,"
"protein,ion,histone,positive,,,"
"repair,protein,positive,regulation,,,"
"ion,transport,positive,regulation,,,"
"targeting,copper,ion,transport,,,"
"histone,ion,regulation,catabolic process,,,"
"histone,regulation,positive,negative,,,"
"protein,catabolic process,ion,negative,,,"
"regulation,ion,repair,protein,positive,,"
"regulation,protein,ion,negative,,,"
"regulation,ion,protein,metabolic process,,,"
"catabolic process,positive,regulation,ion,,,"
"ion,negative,protein,transport,,,"
"ion,negative,regulation,catabolic process,histone,,"
"ion,protein,negative,positive,,,"
"protein,regulation,catabolic process,,,,"
"positive,regulation,protein,catabolic process,,,"
"regulation,ion,positive,catabolic process,,,"
"ion,catabolic process,positive,regulation,,,"
"regulation,histone,positive,negative,,,"
"ion,negative,regulation,positive,histone,,"
"transport,regulation,positive,,,,"
"metabolic process,ion,negative,regulation,,,"
"positive,regulation,histone,repair,,,"
"regulation,catabolic process,ion,protein,,,"
"repair,negative,regulation,protein,,,"
"protein,positive,regulation,histone,,,"
"positive,regulation,ion,negative,,,"
"ion,catabolic process,negative,regulation,,,"
"ion,starvation,positive,regulation,,,"
"ion,histone,positive,regulation,,,"
"ion,metabolic process,starvation,,,,"
"histone,ion,positive,regulation,,,"
"membrane organization,ion,metabolic process,transport,,,"
"ion,negative,positive,histone,repair,,"
"transport,ion,protein,,,,"
"transport,protein,negative,regulation,ion,positive,"
"regulation,ion,protein,catabolic process,,,"
"ion,negative,regulation,catabolic process,,,"
"regulation,ion,protein,positive,starvation,,"
"targeting,negative,regulation,ion,transport,,"
"ion,regulation,transport,,,,"
"histone,transport,,,,,"
"catabolic process,regulation,ion,negative,,,"
"protein,ion,positive,regulation,,,"
"regulation,ion,positive,histone,repair,,"
"ion,targeting,transport,,,,"
"transport,protein,positive,regulation,,,"
"transport,ion,positive,,,,"
"starvation,,,,,,"
"positive,regulation,histone,ion,,,"
"repair,protein,histone,transport,,,"
"protein,ion,targeting,,,,"
"positive,regulation,ion,protein,negative,,"
"ion,positive,negative,,,,"
"transport,copper,ion,,,,"
"regulation,protein,catabolic process,ion,,,"
"regulation,ion,metabolic process,transport,positive,,"
"starvation,ion,positive,,,,"
"repair,positive,regulation,protein,,,"
"regulation,ion,starvation,protein,,,"
"positive,regulation,protein,ion,,,"
"protein,ion,histone,,,,"
"protein,ion,negative,metabolic process,,,"
"ion,protein,metabolic process,negative,regulation,,"
"catabolic process,positive,regulation,,,,"
"ion,regulation,negative,positive,,,"
"catabolic process,targeting,transport,ion,,,"
"catabolic process,regulation,transport,,,,"
"transport,negative,regulation,,,,"
"ion,protein,positive,,,,"
"ion,regulation,transport,negative,,,"
"regulation,repair,,,,,"
"ion,negative,histone,repair,,,"
"regulation,ion,histone,positive,starvation,,"
"catabolic process,ion,repair,,,,"
"protein,positive,regulation,negative,,,"
"transport,protein,ion,,,,"
"ion,protein,positive,starvation,,,"
"ion,negative,histone,,,,"
"catabolic process,metabolic process,,,,,"
"protein,ion,transport,catabolic process,,,"
"protein,ion,positive,negative,,,"
"ion,histone,negative,,,,"
"ion,histone,positive,,,,"
"histone,protein,,,,,"
"regulation,metabolic process,protein,histone,positive,,"
"regulation,ion,repair,protein,catabolic process,,"
"catabolic process,ion,positive,regulation,,,"
"ion,negative,protein,positive,metabolic process,,"
"ion,negative,protein,histone,positive,catabolic process,"
"targeting,positive,regulation,ion,,,"
"catabolic process,repair,positive,regulation,,,"
"ion,negative,positive,protein,histone,,"
"positive,regulation,repair,negative,,,"
"histone,ion,,,,,"
"ion,targeting,catabolic process,,,,"
"regulation,positive,repair,negative,,,"
"protein,ion,regulation,,,,"
"transport,ion,positive,biological_process,,,"
"catabolic process,regulation,positive,,,,"
"targeting,regulation,ion,,,,"
"transport,positive,regulation,,,,"
"regulation,membrane organization,,,,,"
"ion,negative,protein,positive,,,"
"targeting,metabolic process,ion,membrane organization,,,"
"protein,catabolic process,histone,,,,"
"repair,histone,regulation,positive,,,"
"ion,protein,membrane organization,,,,"
"targeting,transport,ion,positive,regulation,,"
"protein,ion,catabolic process,,,,"
"positive,regulation,negative,starvation,,,"
"ion,negative,starvation,,,,"
"ion,protein,positive,regulation,metabolic process,negative,"
"regulation,ion,positive,repair,,,"
"ion,transport,regulation,,,,"
"metabolic process,positive,regulation,starvation,transport,,"
